Date,Actual,Holiday
2014-06-16,927.934,
2014-06-17,882.946,
2014-06-18,751.629,
2014-06-19,797.629,
2014-06-20,711.141,
2014-06-21,101.566,
2014-06-22,0,
2014-06-23,1042.163,
2014-06-24,921.005,
2014-06-25,763.378,
2014-06-26,806.152,
2014-06-27,674.624,
2014-06-28,16.03,
2014-06-29,0,
2014-06-30,1101.139,
2014-07-01,987.338,
2014-07-02,692.775,
2014-07-03,632.794,
2014-07-04,537.098,
2014-07-05,105.439,
2014-07-06,0,
2014-07-07,794.397,
2014-07-08,686.605,
2014-07-09,567.45,
2014-07-10,688.077,
2014-07-11,706.825,
2014-07-12,113.189,
2014-07-13,0,
2014-07-14,830.826,
2014-07-15,853.201,
2014-07-16,609.215,
2014-07-17,568.749,
2014-07-18,475.621,
2014-07-19,78.486,
2014-07-20,0,
2014-07-21,969.279,
2014-07-22,717.528,
2014-07-23,528.553,
2014-07-24,580.45,
2014-07-25,572.549,
2014-07-26,79.766,
2014-07-27,0,
2014-07-28,1010.249,
2014-07-29,773.253,
2014-07-30,714.766,
2014-07-31,822.256,
2014-08-01,704.633,
2014-08-02,96.214,
2014-08-03,0,
2014-08-04,828.797,
2014-08-05,684.627,
2014-08-06,624.346,
2014-08-07,577.129,
2014-08-08,543.255,
2014-08-09,75.208,
2014-08-10,0,
2014-08-11,862.8,
2014-08-12,750.534,
2014-08-13,670.528,
2014-08-14,860.33,
2014-08-15,739.136,
2014-08-16,108.367,
2014-08-17,0,
2014-08-18,994.38,
2014-08-19,1080.893,
2014-08-20,888.337,
2014-08-21,821.374,
2014-08-22,845.636,
2014-08-23,100.634,
2014-08-24,0,
2014-08-25,1015.998,
2014-08-26,847.415,
2014-08-27,640.202,
2014-08-28,760.792,
2014-08-29,709.295,
2014-08-30,90.349,
2014-08-31,0,
2014-09-01,986.636,
2014-09-02,802.151,
2014-09-03,766.905,
2014-09-04,844.395,
2014-09-05,728.634,
2014-09-06,84.138,
2014-09-07,0,
2014-09-08,853.716,
2014-09-09,778.637,
2014-09-10,680.553,
2014-09-11,675.212,
2014-09-12,503.527,
2014-09-13,86.473,
2014-09-14,-1,
2014-09-15,816.666,
2014-09-16,713.407,
2014-09-17,652.981,
2014-09-18,635.752,
2014-09-19,617.888,
2014-09-20,94.519,
2014-09-21,0,
2014-09-22,1041.679,
2014-09-23,816.001,
2014-09-24,736.606,
2014-09-25,701.443,
2014-09-26,582.978,
2014-09-27,26.505,
2014-09-28,0,
2014-09-29,999.617,
2014-09-30,812.675,
2014-10-01,649.911,
2014-10-02,596.484,
2014-10-03,477.449,
2014-10-04,82.597,
2014-10-05,0,
